Model Type,Full Model Name,Parameters,Training Time (min),Time per Epoch (s),Epochs,Best Epoch,Train RMSE,Valid RMSE,Test RMSE
CategoricalModelv1,cat_unk_bs32_adam_lrs_no_hid128_dr20,13185,4.72,25.75,11,9,13213.59,13670.57,13284.84
CategoricalModelv2,cat_mf_bs32_adam_lrs_no_hid128_dr20,12929,2.54,25.37,6,3,13447.09,13843.15,13512.25
CategoricalModelv3,cat_unk_bs64_adam_lrs_no_hid128_dr20,13185,1.53,13.15,7,4,13219.85,13664.74,13300.22
CategoricalModelv4,cat_unk_bs64_adam_lrs_no_hid64_dr20,4545,1.74,13.02,8,5,13329.56,13694.84,13322.27
CategoricalModelv5,cat_unk_bs64_sgd_lrs_no_hid128_dr20,13185,1.5,9.97,9,6,13300.99,13696.73,13366.86
CategoricalModelv6,cat_unk_bs64_adam_lrs_hid128_dr20,13185,1.09,13.13,5,2,13256.01,13706.67,13311.93
TfIdfModelv1,tfidf_800_50_sr_unk_bs64_adam_lrs_no_hid128_dr30,122113,4.58,14.46,19,16,7835.6,9369.43,9135.46
TfIdfModelv2,tfidf_800_50_srbn_unk_bs64_adam_lrs_no_hid128_dr30,122497,4.44,19.03,14,11,9183.68,9594.86,9296.22
EmbeddingModelv1,emb_sr_unk_bs64_adam_lrs_no_hid128_dr30,111617,2.58,14.06,11,8,9309.08,9643.54,9384.85
EmbeddingModelv2,emb_srbn_unk_bs64_adam_lrs_no_hid128_dr30,112001,6.56,19.69,20,17,9092.38,9366.19,9176.47
EmbeddingModelv3,emb_int_unk_bs64_adam_lrs_no_hid256_dr30,248705,5.58,23.91,14,11,8986.65,9271.01,9051.86
EmbeddingModelv4,emb_int_unk_bs64_adam_lrs_no_hid256_dr30_batchnorm_after,248705,2.91,21.83,8,5,10163.93,9905.69,10694.22
EmbeddingModelv5,emb_multi_unk_bs64_adam_lrs_no_hid256_dr30,264609,10.79,35.97,18,15,8858.86,9220.58,9075.08984375
TfIdfModelv3,tfidf_800_50_int_unk_bs64_adam_lrs_no_hid256_dr30,269697,7.29,24.3,18,15,8858.86,9220.58,9090.3701171875
TfIdfModelv4,tfidf_800_50_multi_unk_bs64_adam_lrs_no_hid256_dr30,129697,6.43,35.05,11,8,10011.56,9989.09,9782.2197265625
TfIdfModelv5,tfidf_800_50_int_mf_bs64_adam_lrs_no_hid256_dr30,269697,6.05,21.36,17,14,8291.18,9301.71,9063.5400390625
TfIdfModelv6,tfidf_800_50_int_mf_bs64_adam_lrs_no_hid256_dr30,59201,4.3,14.32,18,15,8858.86,9220.58,9063.5400390625
TfIdfModelv7,tfidf_800_50_int_unk_bs64_adam_lrs_no_hid128_dr30,124609,6.61,22.03,18,15,9058.73,9504.25,9330.2802734375
TfIdfModelv8,tfidf_800_50_int_unk_bs64_adam_lrs_hid256_dr30,269697,7.51,22.53,20,17,7629.15,9200.09,8919.75
TfIdfModelv9,tfidf_800_50_int_unk_bs64_sgd_lrs_no_hid256_dr30,269697,5.63,16.89,20,17,10283.01,10125.03,9910.8603515625
TfIdfModelv10,tfidf_svd_200_10_int_unk_bs64_adam_lrs_no_hid256_dr30,105857,5.48,21.9,15,12,9957.73,10052.42,9978.580078125
TfIdfModelv11,tfidf_stopwords_800_50_int_unk_bs64_adam_lrs_no_hid256_dr30,269697,9.32,22.36,25,23,7506.8,9011.95,8758.740234375
TfIdfModelLog,tfidf_stopwords_800_50_int_unk_bs64_adam_lrs_hid256_dr30_logy,269697,8.2,22.36,22,19,9255.97,9307.95,9037.419921875
SelfTaughtModelv1,selftaught_e256_mlen320_mf20_base_learn_chid128_rhid256_dr30_lrs,6006913,12.08,55.74,13,10,7408.83,9057.16,8755.2099609375
Word2vecModelv1,word2vec_e256_mlen320_mf20_base_pass_emb_chid128_rhid256_dr30_lrs,137601,11.76,23.53,30,30,9004.66,9321.83,9075.2099609375
Word2vecModelv2,word2vec_e256_mlen320_mf20_base_froz_tok_chid128_rhid256_dr30_lrs,137601,13.99,27.98,30,30,9055.38,9365.7,9081.4296875
Word2vecModelv3,word2vec_e256_mlen320_mf20_base_unfroz_tok_chid128_rhid256_dr30_lrs,6006913,13.87,55.48,15,12,6401.42,8879.48,8518.16015625
FastTextModelv1,fasttext_e300_mlen320_mf20_base_pass_emb_chid128_rhid256_dr30_lrs,148865,6.73,23.75,17,14,10655.36,10561.75,10300.4697265625
FastTextModelv2,fasttext_e300_mlen320_mf20_base_froz_tok_chid128_rhid256_dr30_lrs,148865,14.80,29.60,30,30,10769.9,11018.73,10680.6298828125
FastTextModelv3,fasttext_e300_mlen320_mf20_base_unfroz_tok_chid128_rhid256_dr30_lrs,7026965,11.01,60.05,11,8,7823.59,9178.29,8877.240234375
SelfTaughtModelv2,selftaught_e256_mlen320_mf20_base_learn_chid128_rhid256_dr30_lrs_cleaned,5768321,25.64,139.85,11,8,7625.0,9093.72,8911.6396484375
SelfTaughtModelv3,selftaught_e300_mlen320_mf20_base_learn_chid128_rhid256_dr30_lrs,7026965,18.89,59.65,19,16,6699.15,8966.3,8656.9296875
SelfTaughtModelv4,selftaught_e128_mlen320_mf20_base_learn_chid128_rhid256_dr30_lrs,3039489,12.21,40.70,18,15,7754.64,9185.17,8849.58984375
SelfTaughtModelv5,selftaught_e300_mlen320_mf15_base_learn_chid128_rhid256_dr30_lrs,3530497,11.10,41.63,16,13,8011.45,9096.99,8895.0400390625
SelfTaughtModelv6,selftaught_e256_mlen250_mf20_base_learn_chid128_rhid256_dr30_lrs,6006913,16.44,70.46,14,11,7332.43,9096.32,8781.6796875
SelfTaughtModelOverfittingMitigationv1,selftaught_e300_mlen320_mf20_base_learn_chid128_rhid256_dr45_lrs,6006913,13.71,54.84,15,12,7802.23,9135.86,8872.2998046875
SelfTaughtModelOverfittingMitigationv2,selftaught_e256_mlen320_mf20_base_learn_chid64_rhid128_dr30_lrs,5921729,12.03,55.52,13,10,7788.82,9120.57,8878.7802734375
SelfTaughtModelOverfittingMitigationv3,selftaught_e256_mlen320_mf20_base_learn_chid64_rhid128_dr30_lrs_01_0_lr_001,6006913,10.20,55.64,11,8,7531.22,8989.5,8759.5400390625
SelfTaughtModelOverfittingMitigationv4,selftaught_e256_mlen320_mf10_base_learn_chid64_rhid128_dr30,8797313,15.88,56.05,17,14,7449.21,8989.41,8746.75
SelfTaughtModelOverfittingMitigationv5,selftaught_e256_mlen320_mf10_base_learn_chid64_rhid128_dr40_lr_0005_es_2,6006913,7.62,57.15,8,6,7766.96,9104.1,8783.259765625
SelfTaughtModelOverfittingMitigationv6,selftaught_e256_mlen320_mf20_base_learn_chid64_rhid128_dr35_lr_0003_es_2,6006913,10.04,54.76,11,9,7441.7,8917.52,8608.9599609375
ResidualSelfTaughtModelv1,selftaught_e300_mlen320_mf20_base_res_learn_chid64_rhid128_dr30_lrs_es_2,7252757,27.77,151.46,11,9,6769.92,8969.91,8791.26953125
CNNSelfTaughtModelv1,selftaught_e300_mlen320_mf20_cnn_learn_chid64_rhid128_dr30_es_2,7024341,43.70,174.81,15,13,7114.9,8693.72,8434.76953125
CNNResidualSelfTaughtModelv1,selftaught_e300_mlen320_mf20_cnn_res_learn_chid64_rhid128_dr30_es_2,7221461,43.36,173.45,15,13,6150.07,8362.97,8226.8896484375
ResidualWord2vecModelv1,word2vec_e256_mlen320_mf20_base_res_unfroz_tok_chid64_rhid128_dr30_es_2,7252757,12.41,124.07,6,4,7936.14,9184.12,8953.6201171875
CNNWord2vecModelv1,word2vec_e256_mlen320_mf20_cnn_unfroz_tok_chid64_rhid128_dr30_es_2,6007105,35.75,178.75,12,10,5867.47,8274.66,8025.10009765625
CNNResidualWord2vecModelv1,word2vec_e256_mlen320_mf20_cnn_res_unfroz_tok_chid64_rhid128_dr30_es_2,6184961,34.78,189.71,11,9,5156.61,8209.49,7973.18017578125
ResidualFasttextModelv1,fasttext_e300_mlen320_mf20_res_unfroz_tok_chid64_rhid128_dr30_es_2,7252757,15.92,86.83,11,9,6215.43,8971.63,8687.3896484375
CNNFasttextModelv1,fasttext_e300_mlen320_mf20_cnn_unfroz_tok_chid64_rhid128_dr30_es_2,7024341,27.62,165.71,10,8,5602.41,8555.85,8311.8798828125
CNNResidualFasttextModelv1,fasttext_e300_mlen320_mf20_cnn_res_unfroz_tok_chid64_rhid128_dr30_es_2,7202197,43.22,185.21,14,12,3960.91,8309.1,8092.77001953125
